Sentence	SentenceID	Region	Word	Surprisal	SurprisalReweighted	Repetition
180	Staub_2010.E1.1.SRC	3	who	3.753	3.562	0
180	Staub_2010.E1.1.SRC	3	who	3.938	3.533	1
180	Staub_2010.E1.1.SRC	3	who	4.101	3.96	0
180	Staub_2010.E1.1.SRC	3	who	4.058	3.289	1
180	Staub_2010.E1.1.SRC	4	followed	8.424	7.318	0
180	Staub_2010.E1.1.SRC	4	followed	8.032	7.413	1
180	Staub_2010.E1.1.SRC	4	followed	8.123	8.456	0
180	Staub_2010.E1.1.SRC	4	followed	8.054	7.868	1
180	Staub_2010.E1.1.SRC	5	the	1.774	1.592	0
180	Staub_2010.E1.1.SRC	5	the	1.828	1.506	1
180	Staub_2010.E1.1.SRC	5	the	1.879	1.435	0
180	Staub_2010.E1.1.SRC	5	the	1.748	1.452	1
180	Staub_2010.E1.1.SRC	6	kids	10.227	8.653	0
180	Staub_2010.E1.1.SRC	6	kids	10.131	8.687	1
180	Staub_2010.E1.1.SRC	6	kids	10.163	9.218	0
180	Staub_2010.E1.1.SRC	6	kids	10.233	9.848	1
180	Staub_2010.E1.1.SRC	7	wondered	15.842	12.976	0
180	Staub_2010.E1.1.SRC	7	wondered	15.663	14.445	1
180	Staub_2010.E1.1.SRC	7	wondered	15.494	14.325	0
180	Staub_2010.E1.1.SRC	7	wondered	15.431	12.699	1
181	Staub_2010.E1.1.ORC	3	who	3.899	3.466	0
181	Staub_2010.E1.1.ORC	3	who	3.909	3.607	1
181	Staub_2010.E1.1.ORC	3	who	3.891	3.175	0
181	Staub_2010.E1.1.ORC	3	who	3.737	3.221	1
181	Staub_2010.E1.1.ORC	4	the	7.699	7.61	0
181	Staub_2010.E1.1.ORC	4	the	7.67	7.376	1
181	Staub_2010.E1.1.ORC	4	the	7.683	7.501	0
181	Staub_2010.E1.1.ORC	4	the	7.629	7.645	1
181	Staub_2010.E1.1.ORC	5	kids	8.623	7.643	0
181	Staub_2010.E1.1.ORC	5	kids	8.936	7.484	1
181	Staub_2010.E1.1.ORC	5	kids	8.561	7.142	0
181	Staub_2010.E1.1.ORC	5	kids	8.345	6.866	1
181	Staub_2010.E1.1.ORC	6	followed	9.145	8.454	0
181	Staub_2010.E1.1.ORC	6	followed	9.395	8.627	1
181	Staub_2010.E1.1.ORC	6	followed	9.11	8.609	0
181	Staub_2010.E1.1.ORC	6	followed	9.32	8.564	1
181	Staub_2010.E1.1.ORC	7	wondered	15.666	13.791	0
181	Staub_2010.E1.1.ORC	7	wondered	16.2	15.278	1
181	Staub_2010.E1.1.ORC	7	wondered	17.051	15.392	0
181	Staub_2010.E1.1.ORC	7	wondered	16.012	14.901	1
182	Staub_2010.E1.2.SRC	2	who	4.568	4.114	0
182	Staub_2010.E1.2.SRC	2	who	4.457	4.025	1
182	Staub_2010.E1.2.SRC	2	who	4.185	3.809	0
182	Staub_2010.E1.2.SRC	2	who	4.399	4.331	1
182	Staub_2010.E1.2.SRC	3	distracted	13.43	13.24	0
182	Staub_2010.E1.2.SRC	3	distracted	13.245	12.697	1
182	Staub_2010.E1.2.SRC	3	distracted	13.473	12.553	0
182	Staub_2010.E1.2.SRC	3	distracted	13.426	12.926	1
182	Staub_2010.E1.2.SRC	4	the	1.935	1.969	0
182	Staub_2010.E1.2.SRC	4	the	1.84	1.863	1
182	Staub_2010.E1.2.SRC	4	the	1.906	2.015	0
182	Staub_2010.E1.2.SRC	4	the	1.886	1.786	1
182	Staub_2010.E1.2.SRC	5	cameraman	9.39	8.758	0
182	Staub_2010.E1.2.SRC	5	cameraman	9.02	7.399	1
182	Staub_2010.E1.2.SRC	5	cameraman	10.158	8.188	0
182	Staub_2010.E1.2.SRC	5	cameraman	9.53	8.401	1
182	Staub_2010.E1.2.SRC	6	poured	15.391	13.065	0
182	Staub_2010.E1.2.SRC	6	poured	15.337	14.28	1
182	Staub_2010.E1.2.SRC	6	poured	15.176	13.299	0
182	Staub_2010.E1.2.SRC	6	poured	15.313	14.235	1
183	Staub_2010.E1.2.ORC	2	who	4.248	3.625	0
183	Staub_2010.E1.2.ORC	2	who	4.722	4.212	1
183	Staub_2010.E1.2.ORC	2	who	4.346	3.863	0
183	Staub_2010.E1.2.ORC	2	who	4.547	3.531	1
183	Staub_2010.E1.2.ORC	3	the	7.708	7.273	0
183	Staub_2010.E1.2.ORC	3	the	7.746	7.744	1
183	Staub_2010.E1.2.ORC	3	the	7.566	7.739	0
183	Staub_2010.E1.2.ORC	3	the	7.623	7.684	1
183	Staub_2010.E1.2.ORC	4	cameraman	10.681	9.117	0
183	Staub_2010.E1.2.ORC	4	cameraman	10.358	9.888	1
183	Staub_2010.E1.2.ORC	4	cameraman	10.37	9.832	0
183	Staub_2010.E1.2.ORC	4	cameraman	10.528	9.025	1
183	Staub_2010.E1.2.ORC	5	distracted	12.252	12.018	0
183	Staub_2010.E1.2.ORC	5	distracted	12.444	12.37	1
183	Staub_2010.E1.2.ORC	5	distracted	12.684	12.373	0
183	Staub_2010.E1.2.ORC	5	distracted	12.463	11.515	1
183	Staub_2010.E1.2.ORC	6	poured	15.055	13.338	0
183	Staub_2010.E1.2.ORC	6	poured	14.808	13.957	1
183	Staub_2010.E1.2.ORC	6	poured	15.822	14.905	0
183	Staub_2010.E1.2.ORC	6	poured	15.692	14.518	1
184	Staub_2010.E1.3.SRC	2	who	4.062	3.966	0
184	Staub_2010.E1.3.SRC	2	who	4.058	3.701	1
184	Staub_2010.E1.3.SRC	2	who	4.09	3.679	0
184	Staub_2010.E1.3.SRC	2	who	4.273	4.057	1
184	Staub_2010.E1.3.SRC	3	woke	10.34	9.13	0
184	Staub_2010.E1.3.SRC	3	woke	10.374	9.549	1
184	Staub_2010.E1.3.SRC	3	woke	10.354	9.259	0
184	Staub_2010.E1.3.SRC	3	woke	10.054	9.29	1
184	Staub_2010.E1.3.SRC	4	the	5.732	5.592	0
184	Staub_2010.E1.3.SRC	4	the	5.563	5.376	1
184	Staub_2010.E1.3.SRC	4	the	5.61	5.461	0
184	Staub_2010.E1.3.SRC	4	the	5.489	5.617	1
184	Staub_2010.E1.3.SRC	5	father	7.31	6.697	0
184	Staub_2010.E1.3.SRC	5	father	7.252	6.492	1
184	Staub_2010.E1.3.SRC	5	father	7.364	6.275	0
184	Staub_2010.E1.3.SRC	5	father	7.263	5.901	1
184	Staub_2010.E1.3.SRC	6	bothered	12.826	12.939	0
184	Staub_2010.E1.3.SRC	6	bothered	12.878	12.97	1
184	Staub_2010.E1.3.SRC	6	bothered	12.713	12.341	0
184	Staub_2010.E1.3.SRC	6	bothered	12.977	12.32	1
